energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.717,0.0859,135.085,0.376,0.395,0.0,4,0.878,7,170666,-3.309,0.724,0,audio_features,spotify:track:3JjmdilZHyHJTrxzqf1fWF
0.7,0.0849,134.973,0.197,0.245,1.52e-05,4,0.937,11,154619,-6.932,0.879,1,audio_features,spotify:track:7Em7b6pXUEaG5lqA9IonVv
0.693,0.146,159.891,0.0819,0.782,0.00261,4,0.674,0,169750,-6.436,0.223,0,audio_features,spotify:track:05slqiBJTkE4ThrfFmU8jx
0.834,0.0872,159.897,0.187,0.0708,0.0,4,0.834,1,132000,-3.725,0.941,1,audio_features,spotify:track:3jxVEUOwOoWerhd9plQzxw
0.692,0.107,167.319,0.378,0.149,0.0,3,0.607,5,200882,-5.968,0.539,0,audio_features,spotify:track:6TzEOV4sf03SdfjP15GSFX
0.885,0.0597,150.16,0.233,0.348,0.0,4,0.833,3,156801,-3.093,0.877,0,audio_features,spotify:track:5NGqyv7ZZkHO3EG8nkDsOM
0.495,0.163,154.959,0.228,0.0165,1.48e-06,4,0.866,0,127968,-4.985,0.903,0,audio_features,spotify:track:3zWMHZgRUWcgByRUqsT23S
0.707,0.104,149.854,0.045,0.0282,0.0,4,0.734,0,128000,-6.038,0.392,1,audio_features,spotify:track:5MEaHOQws0syyErhljGYTx
0.942,0.175,84.832,0.556,0.523,0.0,4,0.727,0,98873,-6.26,0.815,1,audio_features,spotify:track:6Ptas8wfAtFahhbVnzGa9k
0.692,0.0925,129.98,0.0498,0.0825,0.0,4,0.925,9,120889,-5.79,0.615,0,audio_features,spotify:track:4EaZQcUts6sjxTbFzkL09j
0.789,0.131,150.138,0.189,0.214,0.0,4,0.902,1,153375,-7.333,0.886,0,audio_features,spotify:track:6gI1CwtNeeuvbefjMyuwkr
0.812,0.117,103.371,0.079,0.211,0.00208,5,0.836,4,131133,-3.461,0.806,0,audio_features,spotify:track:6wzAQg3EPGK44qGoeyc8pM
0.623,0.0931,149.949,0.319,0.268,0.0,4,0.845,11,169665,-4.35,0.433,0,audio_features,spotify:track:5hUcfXLz0miQ82Ui7ZgSMB
0.731,0.0832,129.414,0.3,0.212,0.0,4,0.829,7,163109,-3.025,0.689,1,audio_features,spotify:track:6050UBKaoClZDludjq7hI5
0.76,0.0712,172.097,0.0468,0.0571,0.000171,4,0.623,5,183263,-6.328,0.859,0,audio_features,spotify:track:0A3gyQPKOGjDhGky4KKCIo
0.941,0.0472,129.922,0.248,0.0104,0.0,4,0.939,6,94154,-2.996,0.834,1,audio_features,spotify:track:2J5QOFKfKosfuxexLGlnhx
0.567,0.0881,129.857,0.0483,0.487,0.0,4,0.842,5,163511,-5.123,0.789,1,audio_features,spotify:track:5zCrBIhg3eKTmuz8Y7BhWB
0.623,0.131,114.975,0.484,0.548,0.0,4,0.927,4,183652,-4.408,0.367,1,audio_features,spotify:track:1cTYsmDkSz95NJ6n2aeA2N
0.673,0.123,150.06,0.429,0.417,0.0,4,0.664,1,153600,-7.098,0.57,1,audio_features,spotify:track:2kjEtKWmE1WeXTER4h9HEZ
0.628,0.217,150.126,0.144,0.226,0.0,4,0.687,0,170000,-9.764,0.678,1,audio_features,spotify:track:61soGrTIXPUzBqmfifYKwC
0.903,0.16,159.989,0.0981,0.101,0.0,4,0.777,11,200969,-3.957,0.976,0,audio_features,spotify:track:4R9s86mFzbmL4D52F3hYpm
0.908,0.179,150.11,0.247,0.671,0.0,4,0.78,7,112457,-3.345,0.845,0,audio_features,spotify:track:58K5srLhs5sSUv7ugrqlct
0.408,0.0713,100.02,0.0955,0.406,0.0,4,0.652,3,168000,-7.788,0.58,0,audio_features,spotify:track:52hJdmcNGUPcHKICFlZQfk
0.689,0.386,149.916,0.181,0.279,2.35e-05,4,0.743,5,179200,-6.107,0.858,1,audio_features,spotify:track:61MYaa1Lk4D45IUsMEFx1z
0.333,0.332,125.971,0.0746,0.357,4.5e-05,4,0.927,5,150119,-5.48,0.505,1,audio_features,spotify:track:4mm3byoXBDHg5Woh20pd0p
0.263,0.087,75.79,0.258,0.712,1.13e-06,5,0.751,2,169043,-9.77,0.826,1,audio_features,spotify:track:51gH0O6j8AGkZ9rlvoSQ0U
0.548,0.0361,83.142,0.11,0.459,0.0,3,0.591,7,164000,-3.087,0.816,1,audio_features,spotify:track:7xBfEwNithlrrr1UXWA7xX
0.371,0.0576,92.984,0.431,0.271,0.0,4,0.63,5,153652,-10.803,0.471,0,audio_features,spotify:track:6mYNF3xwPM32gOBoibkENs
0.629,0.0915,139.975,0.086,0.345,0.0,4,0.772,6,155808,-5.369,0.619,0,audio_features,spotify:track:0Jwa2qyRGY7p0ejwknCP7J
0.812,0.117,164.937,0.264,0.034,0.00014,4,0.821,1,170188,-3.754,0.624,1,audio_features,spotify:track:1LVgrd57zqZ0nPkWijrFS3
0.722,0.154,132.052,0.277,0.105,0.00764,4,0.931,10,177323,-2.02,0.587,0,audio_features,spotify:track:7gWyzRDJW0j9WLwS3s0SKg
0.698,0.13,175.072,0.167,0.0154,0.0,4,0.787,1,138632,-6.978,0.855,0,audio_features,spotify:track:0KsoiJHR8kqsQDNbIqiJuW
0.717,0.0938,70.6,0.382,0.221,0.0,4,0.728,10,135529,-4.637,0.781,1,audio_features,spotify:track:7f9pkJen2qiUE2c1uP31G0
0.677,0.195,130.068,0.0528,0.272,4.64e-06,4,0.831,0,150517,-4.659,0.636,1,audio_features,spotify:track:20gIEJGFo7W56YlPHjpz1F
0.447,0.0992,131.935,0.462,0.256,0.0,4,0.716,5,172800,-9.444,0.772,1,audio_features,spotify:track:4lk8eZPJJDKLZGhOOCMjNs
0.685,0.0789,103.133,0.272,0.493,3.47e-05,5,0.912,4,152742,-4.875,0.406,0,audio_features,spotify:track:7vf8I1ZLeR5lutWpCSMZbM
0.842,0.0423,155.008,0.105,0.356,0.0,4,0.787,10,139742,-2.618,0.975,0,audio_features,spotify:track:2QjEPmLRsmlTU2ThTJDlnQ
0.981,0.0412,80.018,0.1,0.369,0.0286,4,0.751,0,156000,0.614,0.979,1,audio_features,spotify:track:1N7tPHWd7M6tqCkHqbcDXD
0.774,0.103,131.695,0.296,0.234,0.0,4,0.833,0,210909,-4.483,0.64,0,audio_features,spotify:track:5tsdZ03yB6FnDcu1GhqCXQ
0.712,0.082,101.74,0.189,0.427,0.0,5,0.611,1,144794,-6.071,0.4,1,audio_features,spotify:track:5CtxsaRfZdxZM2K5mvxFbD
0.549,0.0783,85.38,0.229,0.042,0.0,5,0.79,7,150000,-7.074,0.592,1,audio_features,spotify:track:1Szdkag2CYXPC1GvU24euD
0.196,0.0965,69.022,0.921,0.824,0.0,3,0.652,4,182400,-10.493,0.696,0,audio_features,spotify:track:0cjl6n78mqF9jmBcZn9TJv
0.641,0.116,86.976,0.082,0.228,1.48e-05,5,0.808,6,164885,-2.073,0.556,0,audio_features,spotify:track:2O2Zw57NXDmJoYa27Szcdo
0.567,0.0634,88.059,0.204,0.332,0.0,4,0.798,6,147273,-3.637,0.88,1,audio_features,spotify:track:08FYUrgiwYOcOniC5qi8Qg
0.988,0.328,83.832,0.482,0.336,0.0,4,0.544,10,120000,-0.885,0.424,0,audio_features,spotify:track:2ubGhNRY2sRsBUIfOPmEmT
0.613,0.0932,128.74,0.553,0.645,0.0,4,0.736,2,146843,-4.566,0.758,0,audio_features,spotify:track:0oV7eIMsUm26Tnm5UEqr9J
0.754,0.198,130.104,0.302,0.331,0.0,4,0.939,7,249231,-8.745,0.946,1,audio_features,spotify:track:7JGcHUorLHT2qFpC7E6244
0.924,0.0524,139.982,0.163,0.51,0.00493,4,0.859,2,121918,-1.889,0.945,1,audio_features,spotify:track:2ed58uZiB9PguKuwoIfjDB
0.49,0.0595,133.903,0.685,0.403,0.0,4,0.833,9,168358,-9.018,0.801,1,audio_features,spotify:track:1il0SSpBqa3sIi6UtEVeM3
0.832,0.101,74.653,0.476,0.376,0.0,4,0.754,7,149250,-2.897,0.362,0,audio_features,spotify:track:35SNgwqnHo3UzRWcjf2KzR
0.885,0.106,130.12,0.0703,0.103,0.546,4,0.878,1,134880,-2.139,0.383,1,audio_features,spotify:track:5JvVU0nPFWSIRQZ9TfCbOx
