energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.126,0.102,133.63,0.0447,0.989,0.897,4,0.221,0,139307,-25.427,0.216,1,audio_features,spotify:track:4SFBV7SRNG2e2kyL1F6kjU
0.0122,0.0648,74.554,0.0511,0.902,0.308,4,0.0811,4,935360,-32.654,0.0384,0,audio_features,spotify:track:2kAgCRZPG3YQR2VMqRvLmb
0.0331,0.0954,116.2,0.0487,0.927,0.825,3,0.204,2,207267,-24.044,0.0547,0,audio_features,spotify:track:1upQiytDIEZfl9ItruoXuC
0.157,0.186,73.289,0.0636,0.89,0.842,4,0.275,7,152280,-18.752,0.304,1,audio_features,spotify:track:17i5jLpzndlQhbS4SrTd0B
0.0487,0.0679,134.839,0.0412,0.986,0.945,5,0.23,5,203656,-27.675,0.101,1,audio_features,spotify:track:0H2VhGUC3P3hvwz8rdGIpC
0.0525,0.103,88.316,0.0327,0.98,0.906,4,0.205,1,174653,-23.841,0.0511,1,audio_features,spotify:track:419qlOGNXoyICx4jO0hqaj
0.158,0.1,85.031,0.035,0.748,0.924,4,0.13,2,302093,-16.132,0.0998,1,audio_features,spotify:track:5x3TUfYzgZIdt0Kaop64ss
0.00501,0.0618,132.085,0.0451,0.993,0.919,3,0.335,1,294960,-33.366,0.0383,1,audio_features,spotify:track:1cmigB9I6IRpFqjIbzvSQB
0.0722,0.115,87.882,0.0427,0.944,0.148,4,0.148,4,478573,-25.217,0.0467,0,audio_features,spotify:track:5pjDwtMPly0cNMbuGXhUOI
0.258,0.0924,74.568,0.0459,0.976,0.69,4,0.309,9,890000,-15.327,0.115,1,audio_features,spotify:track:0yzhOPf0iw2qWwcXRRta5L
0.0686,0.0909,90.779,0.0462,0.873,0.402,1,0.205,4,337253,-23.415,0.0359,0,audio_features,spotify:track:6Uk28Hs2MulezLxMrd1rBD
0.00579,0.0882,71.827,0.0576,0.996,0.944,4,0.376,5,296480,-31.615,0.0369,0,audio_features,spotify:track:5fdp9rXfEixCGLM1Og4EN1
0.119,0.112,94.868,0.0386,0.975,0.88,4,0.303,9,820853,-18.055,0.038,0,audio_features,spotify:track:2Z4aQJh0kesRMookvtfR4y
0.131,0.0847,105.328,0.0413,0.898,0.925,4,0.371,2,442693,-23.899,0.0655,1,audio_features,spotify:track:0pCHzhuRt6kOU3FUEG3HnC
0.0523,0.0806,82.015,0.0471,0.896,0.945,4,0.0783,5,583293,-23.247,0.0327,1,audio_features,spotify:track:0cqcRqZgkNHanWQ8slYA0v
0.0047,0.0722,163.665,0.0509,0.992,0.881,4,0.225,1,259493,-30.928,0.186,0,audio_features,spotify:track:2MSgFefjK0T7Iwjvr3OKqV
0.0656,0.119,128.975,0.0471,0.995,0.829,3,0.193,10,402493,-19.239,0.0359,1,audio_features,spotify:track:46tPGzCXCI2oKsemztDA9u
0.254,0.0843,133.808,0.0349,0.948,0.859,4,0.353,0,564640,-16.205,0.0986,1,audio_features,spotify:track:3QqPgzOcv9titKufFR0gsQ
0.0252,0.143,94.736,0.0346,0.975,0.604,4,0.233,2,707173,-24.824,0.0936,1,audio_features,spotify:track:0dzl6bBvsIAfHLlTbBObTW
0.0382,0.097,110.257,0.0413,0.919,0.915,3,0.293,11,689560,-21.783,0.055,0,audio_features,spotify:track:0DvLcwb4v0rPmJ8S8R9thy
0.0545,0.0551,140.966,0.0366,0.983,0.945,4,0.194,4,644273,-24.877,0.0385,1,audio_features,spotify:track:4rrrn8OLrttq7r9RgNXalU
0.0241,0.0623,89.001,0.0432,0.98,0.766,3,0.0999,2,532040,-25.651,0.0396,1,audio_features,spotify:track:63cA2QfqtWZa0GGPZnYc0K
0.298,0.0943,97.853,0.0395,0.957,0.9,4,0.248,0,442000,-15.661,0.157,0,audio_features,spotify:track:6cUCckpdlqHJ5Ascf2uH2A
0.346,0.295,78.989,0.0416,0.824,0.694,4,0.298,3,253440,-15.465,0.482,1,audio_features,spotify:track:7MdenBcztjoBdJUvFxBFeX
0.07,0.146,79.801,0.044,0.918,0.947,4,0.0753,2,365147,-27.272,0.0625,1,audio_features,spotify:track:7h6GoPvGHC9uzZJ8bNvfIq
0.0161,0.0805,128.143,0.0442,0.986,0.86,3,0.169,9,174267,-31.034,0.0573,0,audio_features,spotify:track:0jOnZhF75V68VsBObWx2XO
0.0176,0.0985,125.793,0.0644,0.994,0.927,3,0.491,4,346587,-26.911,0.0901,0,audio_features,spotify:track:3MRQn2RYo2VLYMoStnLRxu
0.0021,0.161,64.364,0.0417,0.995,0.86,4,0.244,1,442600,-41.044,0.187,0,audio_features,spotify:track:2Y95aUjHiOtgL8A6t52Ynl
0.0354,0.125,73.968,0.0387,0.901,0.865,4,0.1,11,906000,-17.211,0.0426,0,audio_features,spotify:track:52GmHO5DikTIKc3yBmTTT1
0.0465,0.0872,130.303,0.0378,0.981,0.9,3,0.312,9,766213,-26.438,0.0371,0,audio_features,spotify:track:0QTaXZRWdzfPdssiQThdCL
0.249,0.12,144.239,0.0411,0.98,0.934,4,0.496,3,224640,-18.131,0.719,1,audio_features,spotify:track:246ntJR3A2s7B5E40FTCLf
0.301,0.13,84.025,0.0384,0.963,0.0033,4,0.212,2,177333,-12.505,0.0798,1,audio_features,spotify:track:74WjYdm3Lvbwnds4thYPUU
0.206,0.0738,130.415,0.0597,0.797,0.255,4,0.351,1,577440,-22.657,0.0839,1,audio_features,spotify:track:2OHnoGjn6X6kDwzO7Rw0Y9
0.165,0.348,73.463,0.0504,0.984,0.95,5,0.223,10,167160,-16.394,0.0518,1,audio_features,spotify:track:294IzNQIRp4soeVaQhows7
0.161,0.16,65.062,0.0442,0.484,0.928,4,0.113,7,337840,-20.046,0.0365,1,audio_features,spotify:track:3af6PvJHP8XlFMWeuN7bF8
0.246,0.107,109.766,0.0385,0.922,0.525,4,0.292,2,642573,-14.96,0.0859,1,audio_features,spotify:track:4Dcm4KMuDz0l01weeSpD4J
0.0733,0.28,73.954,0.0488,0.974,0.859,3,0.102,10,537427,-24.133,0.0308,0,audio_features,spotify:track:1CSaCKPIp2yCIDL3t7Fyau
0.0292,0.104,136.732,0.0406,0.987,0.902,3,0.279,8,293147,-26.804,0.0338,1,audio_features,spotify:track:2u9VGZmVz7Rm01SfDgzcfA
0.0116,0.0816,65.057,0.0567,0.991,0.445,3,0.0623,2,415800,-27.893,0.0331,1,audio_features,spotify:track:0S0YKiEdR9cT9pYgEaTevF
0.0639,0.466,61.577,0.0439,0.962,0.603,3,0.151,11,200360,-24.404,0.0797,0,audio_features,spotify:track:04eShjKTWijeJJqGnhxpYK
0.0386,0.104,75.081,0.0434,0.991,0.94,4,0.128,0,147573,-23.759,0.0359,1,audio_features,spotify:track:4maWRmE0OaHvF245FtrjDD
0.135,0.0477,94.404,0.0488,0.958,0.0349,4,0.25,9,364093,-18.615,0.179,1,audio_features,spotify:track:0xX7kREWmOGBWzYNcpZwRN
