energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.112,0.0696,72.84,0.058,0.935,0.00113,4,0.189,4,188733,-20.507,0.114,1,audio_features,spotify:track:7G7nlBE0kxAAuc3NU1fZtn
0.0186,0.105,85.297,0.0476,0.99,0.934,4,0.324,2,207640,-28.248,0.126,1,audio_features,spotify:track:2m2GJpBjQNNphaCgBeoj7R
0.0753,0.11,69.161,0.0399,0.992,0.047,3,0.199,5,199200,-23.592,0.0396,1,audio_features,spotify:track:01xjs9liD7dn5zqHu2qhmG
0.217,0.0763,152.253,0.0354,0.833,0.892,4,0.267,5,248200,-17.5,0.23,1,audio_features,spotify:track:3tqfAmoX5nT6KUCd7xBJAr
0.216,0.194,129.789,0.038,0.973,0.948,4,0.287,7,178587,-12.973,0.162,1,audio_features,spotify:track:6hfvaEXWy2FnblbwVlvuLF
0.0311,0.131,97.622,0.0355,0.995,0.92,3,0.342,9,225829,-26.999,0.0634,1,audio_features,spotify:track:21UkknmSYISvDaQbaMIOgq
0.0319,0.123,62.213,0.0516,0.826,0.695,4,0.163,1,386133,-23.461,0.14,1,audio_features,spotify:track:6TjHvjqmRrH74OsSMESPeW
0.178,0.117,140.218,0.0375,0.991,0.878,4,0.415,9,206200,-19.65,0.583,1,audio_features,spotify:track:0DM7EoEyNQZXpWhkwWh7bN
0.204,0.317,138.049,0.0348,0.328,0.816,4,0.313,0,237658,-13.803,0.0594,1,audio_features,spotify:track:1Mypm3ipMu4On7tyC6YKi9
0.0419,0.098,123.705,0.0461,0.977,0.876,4,0.342,1,178016,-27.8,0.0784,0,audio_features,spotify:track:1WQu6Ynsx99XhxNHp6mqB7
0.501,0.107,111.654,0.0304,0.464,0.916,4,0.311,9,164667,-8.71,0.196,0,audio_features,spotify:track:7mrpHzDZnSnFn1oTzCXNgO
0.0461,0.168,134.839,0.042,0.993,0.916,4,0.386,6,416533,-23.78,0.127,1,audio_features,spotify:track:4GKXSSGsRIS84GFiblU4o6
0.0974,0.1,97.605,0.0419,0.52,0.675,3,0.164,0,282679,-21.917,0.0429,0,audio_features,spotify:track:7lTvVJhuaxrKHu2Gf59opK
0.223,0.107,109.54,0.033,0.966,0.891,4,0.36,3,293956,-17.504,0.117,0,audio_features,spotify:track:19ttbGbTdKU5MroyBJQfJh
0.227,0.0851,169.223,0.0603,0.966,0.61,3,0.401,3,502763,-14.354,0.48,1,audio_features,spotify:track:5YSDqF5OIO3fYWbdZpmJ1O
0.165,0.115,95.093,0.0395,0.971,0.881,4,0.3,7,342187,-14.9,0.063,0,audio_features,spotify:track:6Chm8m5y3kKhFH42wahTzS
