energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.929,0.142,121.992,0.0762,0.00531,0.0,4,0.569,11,221360,-2.624,0.533,0,audio_features,spotify:track:0uOo8xRtQ6okTZMR89ppVk
0.909,0.201,81.042,0.0829,0.00388,0.00321,4,0.418,8,213573,-2.977,0.529,1,audio_features,spotify:track:28FTCznKZRfYwJVA9OmPif
0.905,0.177,150.037,0.0618,0.000318,0.000518,4,0.435,1,222347,-4.276,0.328,1,audio_features,spotify:track:03cH7hozNkNX8qWi8xbkUA
0.92,0.562,96.433,0.084,6.38e-05,0.0527,4,0.465,6,269160,-4.368,0.233,1,audio_features,spotify:track:1Ej0xptDBpBxUM1dIPcHlm
0.91,0.172,161.853,0.0931,0.000528,0.00085,4,0.433,5,245000,-4.326,0.432,1,audio_features,spotify:track:5VLfWwZvV9zk368UJQEyyB
0.97,0.321,131.961,0.117,0.000187,1.1e-05,4,0.455,0,235240,-2.761,0.313,1,audio_features,spotify:track:7xiZGclYWXgBpFjmr3ziMz
0.571,0.073,113.059,0.0376,0.0532,3.96e-06,4,0.266,8,282293,-4.983,0.104,1,audio_features,spotify:track:7c8unZeNL9gI6Go9DgGYpb
0.874,0.0762,160.034,0.0516,0.000626,0.00112,4,0.367,2,210040,-4.915,0.231,1,audio_features,spotify:track:3ml4u4tmryJO9a68Rc7d8O
0.959,0.16,94.008,0.0805,5.4e-05,0.00248,4,0.43,10,229147,-3.905,0.335,0,audio_features,spotify:track:39UzUACTcDknfjc7umPcuM
0.908,0.136,94.381,0.0854,0.000562,0.00476,4,0.227,4,218227,-2.993,0.123,1,audio_features,spotify:track:5NvEXCtdAv5M0FFyBrGKN5
0.969,0.0904,123.33,0.157,0.000326,0.0502,4,0.296,0,267307,-2.824,0.104,1,audio_features,spotify:track:5JcSPtJJev0wWbFfOsEVjy
0.456,0.0957,125.98,0.0274,0.347,0.000557,4,0.542,1,221387,-8.754,0.164,1,audio_features,spotify:track:6d8ta9H6DvgOqfwxQYqJsV
