energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.608,0.121,169.936,0.0733,0.221,0.0,4,0.498,7,201520,-5.435,0.123,0,audio_features,spotify:track:7qrMWXNwE1aD1o1sBnyIAh
0.847,0.0951,123.952,0.0549,0.0189,0.105,4,0.736,10,220280,-4.637,0.738,0,audio_features,spotify:track:5mMGlT6afZ4yQv36paf0tz
0.587,0.0523,129.954,0.0339,0.0192,0.0,4,0.717,4,216520,-7.296,0.544,0,audio_features,spotify:track:2hdy9Wt9qp7M7d0U3ossu2
0.725,0.182,87.055,0.153,0.00422,0.0,4,0.613,4,218070,-7.298,0.513,1,audio_features,spotify:track:2Gj5CXGxbSTqNRnLVPx6R3
0.631,0.277,123.042,0.0769,0.209,0.0,3,0.39,9,248544,-4.701,0.197,0,audio_features,spotify:track:25qfFpoGhk9Njgu5nl36sS
0.734,0.145,107.853,0.107,0.0162,1.9e-06,4,0.623,9,244453,-5.95,0.372,1,audio_features,spotify:track:2meEiZKWkiN28gITzFwQo5
0.751,0.353,128.017,0.0462,0.0113,0.0,4,0.72,11,202640,-4.484,0.599,0,audio_features,spotify:track:1r299qCKBLgUS9XJ9m1kEx
0.858,0.229,175.077,0.0545,0.00815,2.12e-05,4,0.37,11,214947,-4.885,0.464,0,audio_features,spotify:track:3UygY7qW2cvG9Llkay6i1i
0.87,0.312,97.013,0.0903,0.00679,3.15e-06,4,0.486,2,185533,-4.947,0.336,1,audio_features,spotify:track:7hlXiMxN81uctLsvbtHZ8x
0.97,0.154,114.328,0.0506,0.0569,6.13e-05,4,0.808,10,242293,-6.098,0.868,0,audio_features,spotify:track:2gam98EZKrF9XuOkU13ApN
0.754,0.0575,100.002,0.207,0.00833,3.42e-06,4,0.844,6,187840,-5.46,0.961,1,audio_features,spotify:track:4ZOyH6KjomjlqCz3oFqglr
0.808,0.611,120.033,0.0446,0.00141,0.0,4,0.7,9,249253,-4.522,0.664,0,audio_features,spotify:track:46RpQoZPZI5nBzu22ARmNL
