energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.894,0.161,130.045,0.145,0.0466,0.000244,4,0.891,4,154154,-4.595,0.671,0,audio_features,spotify:track:1K7WzjKDcDdVbKNGrB0gej
0.561,0.108,99.864,0.335,0.596,0.0,3,0.862,8,188388,-5.703,0.541,1,audio_features,spotify:track:63SHcJzckFykS8faA5zojY
0.869,0.223,173.997,0.0589,0.178,0.0,4,0.68,6,143448,-1.94,0.924,1,audio_features,spotify:track:4lKuzrdZrJuCAedbIslF3A
0.346,0.0945,102.374,0.368,0.86,2.02e-06,5,0.579,0,155125,-13.975,0.741,0,audio_features,spotify:track:67mqU3FeErlvWwsxnMfvQo
0.755,0.306,79.975,0.0942,0.239,0.0,4,0.814,11,178500,-6.164,0.963,0,audio_features,spotify:track:4HUZBG98TYbxSR9V1V2DWS
0.717,0.242,145.984,0.096,0.0601,0.00013,4,0.695,1,126379,-4.854,0.471,1,audio_features,spotify:track:4p8pEdPYOQLzJUKYrLOacy
0.73,0.0197,150.134,0.0809,0.383,0.000374,4,0.826,1,157600,-3.032,0.605,1,audio_features,spotify:track:2bPtwnrpFNEe8N7Q85kLHw
0.685,0.206,150.052,0.38,0.626,0.0,4,0.857,1,185600,-4.84,0.837,0,audio_features,spotify:track:7offICpl9kla5kC61uUAs9
0.689,0.0784,144.015,0.0615,0.181,2.55e-05,4,0.811,0,129782,-5.113,0.663,0,audio_features,spotify:track:2WlZuBDgLfT7Kc0admhFdg
0.675,0.106,92.678,0.484,0.501,0.0,5,0.558,8,168800,-4.564,0.769,1,audio_features,spotify:track:1AfNdxHdE4OLcnQUyC6j3i
0.666,0.283,131.949,0.295,0.305,3.86e-06,4,0.885,10,216624,-4.28,0.901,1,audio_features,spotify:track:0AVDN1LiDn0abh39xqDRtQ
0.55,0.182,154.064,0.0587,0.249,8.17e-06,4,0.832,5,152784,-7.026,0.881,0,audio_features,spotify:track:5F8ffc8KWKNawllr5WsW0r
0.518,0.185,176.002,0.445,0.0548,4.94e-06,4,0.838,8,118636,-5.655,0.803,1,audio_features,spotify:track:1mXgYpwge3J5qFkRAHQFZ9
0.794,0.0994,90.07,0.0836,0.293,0.00207,4,0.744,6,133333,-4.409,0.717,0,audio_features,spotify:track:5FFpRbsH9WDYNoLauRAHpj
0.863,0.669,159.944,0.264,0.27,0.0,4,0.714,7,135000,-5.631,0.668,1,audio_features,spotify:track:4A8LKlysJXq8swPVDPd0xH
0.645,0.0992,174.038,0.274,0.0917,0.0,4,0.818,9,161653,-5.325,0.868,0,audio_features,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN
0.951,0.145,153.963,0.141,0.356,0.0,4,0.819,6,148340,-2.896,0.963,0,audio_features,spotify:track:0nkDm27DGppCSk8dnGtvPa
0.954,0.115,137.995,0.124,0.345,5.21e-05,4,0.845,8,160396,-3.656,0.63,0,audio_features,spotify:track:2RMOwSvOGQyy985Vx4VSGQ
0.684,0.0942,170.187,0.119,0.132,0.0,4,0.819,6,137125,-7.169,0.959,0,audio_features,spotify:track:5dKesZwp6deuhEeW8F1UEi
0.453,0.106,130.199,0.522,0.106,3.78e-06,4,0.648,8,147336,-8.969,0.359,0,audio_features,spotify:track:0CgMeXQiNYJxPVQ2EMJxdL
0.656,0.103,82.507,0.108,0.417,4.63e-05,4,0.889,6,139399,-4.874,0.379,0,audio_features,spotify:track:1gsWgGZvy4waIfWPuctvRU
0.841,0.0568,149.994,0.147,0.46,9.12e-05,4,0.888,6,120200,-1.933,0.964,1,audio_features,spotify:track:14kRWkCWBYfQqILflEcpSJ
0.798,0.335,150.003,0.243,0.498,1.01e-05,4,0.652,11,162176,-5.167,0.558,0,audio_features,spotify:track:2UxeBJPanPvF3Q2xH6zkbC
0.672,0.0916,131.453,0.397,0.261,0.000988,4,0.702,7,163253,-3.308,0.722,1,audio_features,spotify:track:6V43u5SCjkfMpxMAXRPifr
0.349,0.0727,130.204,0.522,0.272,0.0,4,0.893,7,240666,-5.956,0.499,1,audio_features,spotify:track:1ipiDzNe3oxmXbURsgyczF
