energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.709,0.763,117.582,0.129,0.611,0.0,4,0.552,8,157186,-5.435,0.528,1,audio_features,spotify:track:1uryupl9hqVZYurJwH4G9k
0.846,0.084,144.479,0.174,0.0883,0.0,4,0.666,1,166388,-3.654,0.782,1,audio_features,spotify:track:0RaIjuKU5hudMteEXwr4RS
0.721,0.869,106.248,0.061,0.768,0.0,4,0.505,1,189059,-5.86,0.421,1,audio_features,spotify:track:6sRLrSetyIwIKhW1eMlUNP
0.72,0.956,141.954,0.0481,0.159,0.0,4,0.605,7,201856,-3.616,0.296,0,audio_features,spotify:track:2BU6XXSG8SqiptRuj6EiLA
0.867,0.83,81.023,0.176,0.471,0.0,4,0.61,9,180346,-3.94,0.717,1,audio_features,spotify:track:23zmMwD99ROi9yhxqMxWil
0.506,0.17,115.921,0.0393,0.825,0.0,4,0.701,8,203848,-8.001,0.612,0,audio_features,spotify:track:3nsKjzNGp8ForQahgMo2JV
0.889,0.651,97.423,0.206,0.456,0.0,4,0.57,0,179100,-3.813,0.426,1,audio_features,spotify:track:5qMnAsvgTfHMd5KQpzpnA1
0.806,0.681,176.212,0.207,0.16,0.0,4,0.428,9,202597,-6.317,0.637,1,audio_features,spotify:track:5LpLYzpV0HWKI2DlPmNywg
0.876,0.925,118.777,0.0972,0.724,0.0,4,0.542,6,182735,-3.378,0.634,1,audio_features,spotify:track:4gDvg62vG96w0qJaF6wzcd
0.684,0.923,108.138,0.0527,0.627,0.0,4,0.668,1,187986,-5.937,0.7,1,audio_features,spotify:track:1vG3YuKRYqPwTmNmYgqkpg
0.603,0.679,77.048,0.0278,0.144,0.0,4,0.457,3,249847,-7.729,0.176,1,audio_features,spotify:track:6nI98wtHOJAYSASq22TCYu
0.932,0.873,126.931,0.0375,0.41,0.0,4,0.805,2,215767,-1.151,0.916,1,audio_features,spotify:track:1MmS7UIy3J1BTxfGCRvVqN
0.743,0.411,111.454,0.0738,0.281,0.0,4,0.621,3,154661,-3.864,0.581,1,audio_features,spotify:track:4E6RdcCWMiHTu7zy1VTNDo
0.712,0.127,123.804,0.0545,0.621,0.0,4,0.714,11,174863,-4.403,0.789,1,audio_features,spotify:track:3J5Pu25BODMex4Jpy4l6FL
0.767,0.805,112.901,0.133,0.69,0.0,4,0.679,2,161397,-5.058,0.603,0,audio_features,spotify:track:48CAeajgzcGJaVUSsXd7h0
0.857,0.767,149.459,0.126,0.171,0.0,4,0.623,1,173367,-3.216,0.593,0,audio_features,spotify:track:7bSPrrpeyPTEtlaSfWALhw
0.687,0.985,133.702,0.0447,0.311,0.0,4,0.622,7,169529,-7.535,0.74,1,audio_features,spotify:track:34b3EBDqiWqj2rL61YwzUQ
0.814,0.324,137.064,0.0362,0.0425,0.0,4,0.682,0,165109,-5.007,0.808,1,audio_features,spotify:track:5twPZ4Ig8Xj3UDzuiXf5k3
0.921,0.971,106.391,0.278,0.57,0.0,4,0.549,1,161245,-2.837,0.562,0,audio_features,spotify:track:0xnJMe159M24KsNWgTde3D
0.95,0.657,170.016,0.192,0.0833,0.0,4,0.65,8,165344,-2.456,0.687,0,audio_features,spotify:track:3GeClpkDm1viVmOpZonsoO
0.487,0.87,99.61,0.0391,0.688,0.0,4,0.563,2,181883,-5.102,0.574,1,audio_features,spotify:track:1JQg7v99JRo4rYEHJ4MeRc
0.852,0.101,160.035,0.0534,0.417,0.0,4,0.664,1,147187,-4.059,0.934,1,audio_features,spotify:track:3vSXPjfcebTt5mB8DXHWM6
0.696,0.498,124.94,0.0382,0.199,0.0,4,0.676,11,187498,-3.721,0.477,0,audio_features,spotify:track:7iavvtxILvRD8Ebpc2EIFD
0.826,0.248,116.986,0.0425,0.519,0.0,4,0.781,1,173004,-2.288,0.76,1,audio_features,spotify:track:1Rn9pDMAqiGwqCDTD8tRd4
0.606,0.871,113.995,0.0713,0.587,0.0,4,0.745,10,169768,-7.571,0.771,1,audio_features,spotify:track:2mxfHRTpcuDDY9FgjA5p3j
0.753,0.442,112.361,0.104,0.656,0.0,4,0.549,11,193103,-4.728,0.55,0,audio_features,spotify:track:64UvHDm99aHsf3eSJdNpuB
0.683,0.804,100.13,0.0429,0.502,0.0,4,0.614,1,162459,-6.268,0.574,1,audio_features,spotify:track:5IVTQjCXlC2R4Yb8IhkLRr
0.877,0.343,118.889,0.198,0.469,0.0,4,0.637,4,175219,-3.68,0.691,0,audio_features,spotify:track:6QwFUcPc5nhsqZuhXUYtV7
0.848,0.491,128.036,0.0282,0.0518,0.0,4,0.741,0,164407,-3.64,0.885,1,audio_features,spotify:track:08Sd5vVcIH3uKeAiaJdoYj
0.566,0.965,105.697,0.0272,0.654,0.0,4,0.543,8,202725,-6.736,0.455,1,audio_features,spotify:track:3pgO4N6Xkr8Ct0U9RgkrQh
0.584,0.76,116.098,0.0284,0.732,0.0,4,0.68,10,154324,-4.227,0.652,0,audio_features,spotify:track:1T2SPPhnSyn70bSshv5KPI
0.756,0.95,153.996,0.235,0.445,0.0,4,0.543,11,193670,-3.755,0.566,0,audio_features,spotify:track:146Vb458Y5RbqEa0fYFPzm
0.807,0.508,112.872,0.178,0.6,0.0,4,0.774,2,171744,-2.751,0.648,1,audio_features,spotify:track:4NRUJT2JynCV7wlJClvv9h
0.829,0.355,147.829,0.069,0.555,0.0,4,0.624,9,171097,-4.436,0.656,0,audio_features,spotify:track:7qpXCkcr3Zj4LDvdiWryns
0.873,0.73,150.045,0.0849,0.551,0.0,4,0.696,0,161813,-5.515,0.587,1,audio_features,spotify:track:6HST8V4v1nItPcNr8hYRbG
0.692,0.151,108.076,0.035,0.526,0.0,4,0.713,7,174888,-5.54,0.572,0,audio_features,spotify:track:65DbDS2xoWQdFSoYtjneDf
0.499,0.945,94.798,0.0378,0.892,0.0,4,0.615,1,180629,-3.182,0.588,0,audio_features,spotify:track:3L2uyIJoJPjYkSETVNSPBQ
0.869,0.535,121.996,0.0857,0.611,0.0,4,0.694,3,234961,-5.26,0.786,0,audio_features,spotify:track:1IJH7QjV5V99eJBtKXqGXE
0.683,0.409,135.944,0.0719,0.479,0.0,4,0.827,11,173892,-5.113,0.85,0,audio_features,spotify:track:6lK3nCiigk34SGqEjpQoqO
0.867,0.797,135.902,0.0334,0.41,0.0,4,0.628,8,162307,-2.801,0.527,1,audio_features,spotify:track:3yqHkEXrbIaF7AoeN4diRH
0.918,0.864,145.784,0.22,0.519,0.0,4,0.652,2,182850,-2.247,0.803,1,audio_features,spotify:track:7qQV8fo97AFhrL9HPUeAsk
0.541,0.381,132.143,0.0777,0.463,0.0,4,0.643,1,165360,-8.786,0.499,1,audio_features,spotify:track:7JdZZfozlODQ08ATf8xIZ6
0.555,0.612,94.898,0.0284,0.698,0.0,4,0.565,9,178904,-7.221,0.308,1,audio_features,spotify:track:6pgoGpBkKUvXrrU95j0khl
0.811,0.33,167.922,0.127,0.0437,0.0,4,0.509,6,181847,-5.604,0.716,0,audio_features,spotify:track:2dmGj5Nf01FcR6N4HPzAbL
0.914,0.568,160.104,0.137,0.247,0.0,4,0.439,4,187953,-5.093,0.797,0,audio_features,spotify:track:4Il9KQ5odwLXKWLBYyELXb
0.739,0.276,106.017,0.0272,0.539,0.0,4,0.728,7,195573,-2.729,0.722,1,audio_features,spotify:track:2InJDvDcA4RXEeA9njdibl
0.865,0.704,148.018,0.0512,0.543,0.0,4,0.602,7,193525,-3.866,0.76,0,audio_features,spotify:track:64ePZsgVWO1zRVpHxY2VYC
0.833,0.678,94.93,0.219,0.321,0.0,4,0.654,9,192411,-5.557,0.501,1,audio_features,spotify:track:2s5tpyIbG70M0E8QuLTffS
0.819,0.415,132.045,0.0699,0.454,0.0,4,0.762,2,166000,-4.519,0.753,1,audio_features,spotify:track:7q1pNuZBd4WjYUNUvqXimT
0.885,0.965,113.919,0.0509,0.255,0.0,4,0.598,7,192947,-3.383,0.648,1,audio_features,spotify:track:6gquljDBW7rE6mCBzmTRxo
0.889,0.584,157.373,0.287,0.667,0.0,4,0.383,0,175819,-4.647,0.519,1,audio_features,spotify:track:5ycRSnnpQcdu0nSMKZNVhy
0.791,0.237,111.928,0.0436,0.245,0.0,4,0.611,2,174179,-3.095,0.572,1,audio_features,spotify:track:2KyXyTrp3kp1Fsg7B1osYD
0.897,0.756,137.891,0.0583,0.61,0.0,4,0.626,6,197970,-3.539,0.528,1,audio_features,spotify:track:6LEFk0KHRfahO5pOMJlbdV
0.801,0.346,117.93,0.0514,0.382,0.0,4,0.816,10,158865,-3.338,0.69,1,audio_features,spotify:track:6uf6MiMitjd5RMgU8aamcH
0.898,0.713,134.991,0.0521,0.295,0.0,4,0.706,4,173856,-2.345,0.575,1,audio_features,spotify:track:7knOtdRwbbvP55B6KB2xvv
0.953,0.538,158.708,0.1,0.0778,0.0,4,0.374,0,157689,-2.388,0.575,1,audio_features,spotify:track:7E5cJjrgYLHo13pI0hpmWw
0.699,0.067,170.053,0.0938,0.246,0.0,4,0.46,1,151538,-4.241,0.728,1,audio_features,spotify:track:7DmsR6VUtb4w8oI4xbKH0x
0.897,0.914,123.827,0.0686,0.286,3.36e-05,4,0.739,9,185587,-4.124,0.384,1,audio_features,spotify:track:4SjkLzyFBVXaxuB6SbJyJN
0.502,0.0811,93.498,0.0444,0.359,0.0,4,0.692,0,167240,-8.817,0.757,1,audio_features,spotify:track:2NnSYdNhqye00il4nRB4tj
0.768,0.636,111.995,0.0298,0.398,0.0,4,0.676,4,173667,-4.133,0.473,1,audio_features,spotify:track:6lcUzde7peeHxraZ3Maf5k
