energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.787,0.176,130.003,0.0554,0.666,5.74e-05,4,0.962,3,165231,1.509,0.968,0,audio_features,spotify:track:0AGS6ZRgzobrazmCi6pYMe
0.599,0.16,100.004,0.103,0.255,0.0,4,0.626,6,155798,-5.869,0.621,0,audio_features,spotify:track:25gD4PQjxCLnwIY2n23aEl
0.807,0.626,153.61,0.195,0.356,0.0,4,0.48,1,170197,-7.402,0.536,1,audio_features,spotify:track:4DngRKOpRPrkbzImUB0zgh
0.689,0.0784,144.015,0.0615,0.181,2.55e-05,4,0.811,0,129782,-5.113,0.663,0,audio_features,spotify:track:2WlZuBDgLfT7Kc0admhFdg
0.839,0.268,147.883,0.106,0.292,0.0,4,0.616,2,210080,-2.895,0.348,1,audio_features,spotify:track:6NM06xgqxQ0HU5lxbt2JHi
0.346,0.0945,102.374,0.368,0.86,2.02e-06,5,0.579,0,155125,-13.975,0.741,0,audio_features,spotify:track:67mqU3FeErlvWwsxnMfvQo
0.684,0.923,108.138,0.0527,0.627,0.0,4,0.668,1,187986,-5.937,0.7,1,audio_features,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI
0.771,0.942,123.414,0.05,0.386,0.0,4,0.531,10,192632,-5.897,0.467,1,audio_features,spotify:track:7o9LwQmTuIDm4LyyHFIWul
0.846,0.084,144.479,0.174,0.0883,0.0,4,0.666,1,166388,-3.654,0.782,1,audio_features,spotify:track:0RaIjuKU5hudMteEXwr4RS
0.7,0.0709,176.956,0.0479,0.591,0.00233,4,0.662,5,156996,-5.149,0.705,0,audio_features,spotify:track:60wF0XnX7A0jVpDNA5v8vi
0.632,0.812,93.052,0.0312,0.292,0.0,4,0.714,9,170877,-5.1,0.402,1,audio_features,spotify:track:3tc8Z4lGzOIwmIVftsxO6o
0.645,0.0992,174.038,0.274,0.0917,0.0,4,0.818,9,161653,-5.325,0.868,0,audio_features,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN
0.937,0.962,134.012,0.0336,0.366,4.27e-06,4,0.793,8,237517,-2.44,0.827,0,audio_features,spotify:track:3tv697PZNnaQN0Mn2zGhS5
0.793,0.0952,123.941,0.0842,0.0125,0.0,4,0.794,11,183290,-4.521,0.677,0,audio_features,spotify:track:3PfIrDoz19wz7qK7tYeu62
0.918,0.982,157.925,0.334,0.342,0.0,4,0.394,7,158969,-2.657,0.588,1,audio_features,spotify:track:3WjSkl7VDWY1prwJw7dSG0
0.712,0.127,123.804,0.0545,0.621,0.0,4,0.714,11,174863,-4.403,0.789,1,audio_features,spotify:track:3J5Pu25BODMex4Jpy4l6FL
0.724,0.353,121.975,0.0495,0.0167,0.0107,4,0.77,8,176840,-5.484,0.898,1,audio_features,spotify:track:24Yi9hE78yPEbZ4kxyoXAI
0.603,0.679,77.048,0.0278,0.144,0.0,4,0.457,3,249847,-7.729,0.176,1,audio_features,spotify:track:6nI98wtHOJAYSASq22TCYu
0.661,0.101,124.023,0.0343,0.098,0.0187,4,0.881,11,181306,-7.681,0.965,0,audio_features,spotify:track:5PNvgiKSwMdjBsDsgFCFLX
0.431,0.696,144.026,0.135,0.731,0.0,4,0.726,8,173333,-8.765,0.348,0,audio_features,spotify:track:7eJMfftS33KTjuF7lTsMCx
0.806,0.681,176.212,0.207,0.16,0.0,4,0.428,9,202597,-6.317,0.637,1,audio_features,spotify:track:5LpLYzpV0HWKI2DlPmNywg
0.73,0.0897,171.005,0.0598,0.00146,9.54e-05,4,0.514,1,200040,-5.934,0.334,1,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
0.756,0.95,153.996,0.235,0.445,0.0,4,0.543,11,193670,-3.755,0.566,0,audio_features,spotify:track:146Vb458Y5RbqEa0fYFPzm
0.649,0.949,77.487,0.0714,0.384,0.0,4,0.769,0,168080,-4.864,0.834,1,audio_features,spotify:track:0SJtvFn4vqgJPscSbEPaql
0.855,0.323,123.056,0.0397,0.021,0.0,4,0.672,9,182200,-3.764,0.646,1,audio_features,spotify:track:7ju97lgwC2rKQ6wwsf9no9
0.723,0.333,142.061,0.0383,0.488,0.0,4,0.605,4,205786,-6.312,0.57,0,audio_features,spotify:track:28atBekPVlTdnU4M9Z7udd
0.72,0.956,141.954,0.0481,0.159,0.0,4,0.605,7,201856,-3.616,0.296,0,audio_features,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF
0.584,0.0809,133.096,0.0339,0.0391,0.0,5,0.339,3,231285,-7.423,0.324,1,audio_features,spotify:track:0j1tGcJJfq1nIs4i5GoHXv
0.87,0.333,152.37,0.0851,0.24,0.0,4,0.528,11,181930,-3.123,0.714,1,audio_features,spotify:track:2PWjKmjyTZeDpmOUa3a5da
0.593,0.17,98.078,0.0988,0.688,0.000161,4,0.825,6,209755,-6.401,0.54,0,audio_features,spotify:track:1rgnBhdG2JDFTbYkYRZAku
0.559,0.16,91.81,0.0794,0.331,0.0,4,0.632,11,150026,-6.74,0.674,0,audio_features,spotify:track:2MOq63fxuFLYQM3CsDcFs1
0.846,0.93,167.991,0.0616,0.108,0.0,4,0.59,11,194580,-5.501,0.565,1,audio_features,spotify:track:4j2bK4fnc2s6GyVmhJsJhk
0.709,0.763,117.582,0.129,0.611,0.0,4,0.552,8,157186,-5.435,0.528,1,audio_features,spotify:track:1uryupl9hqVZYurJwH4G9k
0.49,0.113,81.604,0.209,0.289,3.04e-06,4,0.83,1,247059,-8.82,0.845,0,audio_features,spotify:track:466cKvZn1j45IpxDdYZqdA
0.743,0.959,131.573,0.0567,0.0604,0.0,4,0.665,4,147748,-4.434,0.658,1,audio_features,spotify:track:3GmJxfnUDrIs1iCfKUELFz
0.47,0.147,76.805,0.0483,0.272,0.0,4,0.624,0,196406,-5.575,0.513,1,audio_features,spotify:track:0GrEqRHf5FioT1hOB8PBxZ
0.729,0.349,113.012,0.0886,0.167,1.39e-06,4,0.73,4,221820,-3.434,0.467,0,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT
0.812,0.419,110.081,0.0403,0.515,0.0,4,0.605,11,190245,-4.699,0.451,1,audio_features,spotify:track:2PqPSf3gtTED79rWGwVtYg
0.683,0.409,135.944,0.0719,0.479,0.0,4,0.827,11,173892,-5.113,0.85,0,audio_features,spotify:track:2Ou6UYuUbNyqwXxRDSeFRf
0.427,0.0839,138.655,0.066,0.842,0.0,4,0.473,7,221143,-9.693,0.694,0,audio_features,spotify:track:1Nmcs8zk7LfcvHRgLtTM5J
0.869,0.223,173.997,0.0589,0.178,0.0,4,0.68,6,143448,-1.94,0.924,1,audio_features,spotify:track:4lKuzrdZrJuCAedbIslF3A
0.558,0.0545,125.87,0.0455,0.331,0.0,4,0.691,6,172076,-6.64,0.905,1,audio_features,spotify:track:5GAdMAL3tRJkVN1HtwohK2
0.867,0.83,81.023,0.176,0.471,0.0,4,0.61,9,180346,-3.94,0.717,1,audio_features,spotify:track:23zmMwD99ROi9yhxqMxWil
0.717,0.242,145.984,0.096,0.0601,0.00013,4,0.695,1,126379,-4.854,0.471,1,audio_features,spotify:track:4p8pEdPYOQLzJUKYrLOacy
0.498,0.518,132.74,0.0341,0.759,0.0,4,0.394,7,214088,-6.853,0.4,1,audio_features,spotify:track:79BHjj4YkvbpOlMvG6wf3n
0.848,0.491,128.036,0.0282,0.0518,0.0,4,0.741,0,164407,-3.64,0.885,1,audio_features,spotify:track:08Sd5vVcIH3uKeAiaJdoYj
0.903,0.911,195.62,0.409,0.445,0.0,4,0.39,0,181670,-3.846,0.47,1,audio_features,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe
0.827,0.176,146.048,0.0986,0.571,0.0,4,0.643,0,162208,-7.83,0.769,1,audio_features,spotify:track:5yaXBGNko8lmFSOvKWo99j
0.561,0.108,99.864,0.335,0.596,0.0,3,0.862,8,188388,-5.703,0.541,1,audio_features,spotify:track:63SHcJzckFykS8faA5zojY
0.943,0.965,124.984,0.0456,0.0486,0.0,4,0.741,1,180736,-1.401,0.725,1,audio_features,spotify:track:5n8Y78Pl5q8lqS7sJP61qw
