energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.454,0.114,81.618,0.201,0.321,6.15e-06,4,0.834,1,247059,-9.75,0.837,0,audio_features,spotify:track:127QTOFJsJQp5LbJbu3A1y
0.554,0.132,99.034,0.0383,0.207,0.0,4,0.774,0,162547,-7.909,0.349,1,audio_features,spotify:track:22LAwLoDA5b4AaGSkg6bKW
0.73,0.0897,171.005,0.0598,0.00146,9.54e-05,4,0.514,1,200040,-5.934,0.334,1,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
0.69,0.101,89.977,0.164,0.247,0.0,4,0.746,11,181733,-7.956,0.497,1,audio_features,spotify:track:7ytR5pFWmSjzHJIeQkgog4
0.586,0.79,116.971,0.0559,0.104,0.0,4,0.896,10,196653,-6.687,0.642,0,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
0.724,0.353,121.975,0.0495,0.0167,0.0107,4,0.77,8,176840,-5.484,0.898,1,audio_features,spotify:track:24Yi9hE78yPEbZ4kxyoXAI
0.604,0.272,145.062,0.245,0.017,0.0,4,0.923,11,139741,-6.671,0.826,0,audio_features,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM
0.673,0.0904,110.962,0.158,0.256,3.57e-06,4,0.787,11,237893,-4.577,0.786,0,audio_features,spotify:track:3Dv1eDb0MEgF93GpLXlucZ
0.793,0.0952,123.941,0.0842,0.0125,0.0,4,0.794,11,183290,-4.521,0.677,0,audio_features,spotify:track:3PfIrDoz19wz7qK7tYeu62
0.741,0.096,168.983,0.334,0.0252,0.0,4,0.843,11,155497,-5.609,0.68,1,audio_features,spotify:track:55CHeLEfn5iJ0IIkgaa4si
0.492,0.0678,151.044,0.153,0.0136,0.000283,4,0.876,11,166799,-8.11,0.4,0,audio_features,spotify:track:5UusfWUMMLEXLMc1ViNZoe
0.431,0.696,144.026,0.135,0.731,0.0,4,0.726,8,173333,-8.765,0.348,0,audio_features,spotify:track:7eJMfftS33KTjuF7lTsMCx
0.624,0.138,103.0,0.184,0.187,0.0,4,0.836,4,139890,-6.75,0.7,0,audio_features,spotify:track:1gVCEnryJhkdQcuC0Kbvor
0.762,0.0863,120.042,0.0395,0.192,0.00244,4,0.695,0,215280,-3.497,0.553,1,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb
0.744,0.0713,84.005,0.228,0.268,0.0,4,0.867,9,173288,-5.171,0.645,0,audio_features,spotify:track:4cSSL3YafYjM3yjgFO1vJg
0.525,0.0714,112.022,0.0578,0.183,0.0,4,0.878,5,158571,-6.832,0.694,1,audio_features,spotify:track:1Cv1YLb4q0RzL6pybtaMLo
0.546,0.102,147.986,0.0575,0.3,0.0,4,0.806,9,212867,-6.637,0.874,1,audio_features,spotify:track:4umIPjkehX1r7uhmGvXiSV
0.609,0.152,142.037,0.481,0.0706,0.0,4,0.676,2,237735,-5.831,0.508,0,audio_features,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
0.43,0.0887,127.087,0.0364,0.123,0.0,4,0.784,10,159382,-8.756,0.236,0,audio_features,spotify:track:2rRJrJEo19S2J82BDsQ3F7
0.601,0.46,116.735,0.148,0.0522,0.0,5,0.621,6,163636,-5.616,0.457,0,audio_features,spotify:track:696DnlkuDOXcMAnKlTgXXK
0.499,0.3,97.956,0.114,0.269,0.0,4,0.831,11,220487,-8.442,0.511,0,audio_features,spotify:track:07KXEDMj78x68D884wgVEm
0.631,0.123,128.977,0.0534,0.305,3.04e-05,4,0.863,7,223480,-4.689,0.817,1,audio_features,spotify:track:4nK5YrxbMGZstTLbvj6Gxw
0.771,0.102,99.048,0.0483,0.0237,7e-06,4,0.676,8,207133,-3.675,0.569,1,audio_features,spotify:track:3jjujdWJ72nww5eGnfs2E7
0.618,0.542,119.099,0.112,0.0827,0.0,4,0.893,7,161377,-4.425,0.389,0,audio_features,spotify:track:0lSZh5W0wDeurkGzLYY6hf
0.72,0.114,155.086,0.193,0.0236,0.0,4,0.775,11,234627,-5.353,0.49,0,audio_features,spotify:track:3kW4z2pIj5VY5fLjBrMRL5
0.674,0.282,155.051,0.0408,0.00346,3.56e-05,4,0.501,5,200838,-6.363,0.152,1,audio_features,spotify:track:1fipvP2zmef6vN2IwXfJhY
0.655,0.215,155.039,0.296,0.0537,0.0,4,0.77,8,224955,-6.976,0.584,0,audio_features,spotify:track:56uXDJRCuoS7abX3SkzHKQ
